Photon Density 	SigmaT	Energy(mJ)
56.345717915565274	5.0	100.0080756
50.84270000053242	6.0	100.0080756
47.27419404932364	7.0	100.0080756
31.501643614798358	8.0	100.0080756
15.953326806454251	9.0	100.0080756
26.94740472996462	10.0	100.0080756
23.908616126541933	11.0	100.0080756
21.08882541807249	12.0	100.0080756
7.430479757192281	13.0	100.0080756
13.290086719795687	14.0	100.0080756
23.35828286442246	15.0	100.0080756
12.652820233529027	16.0	100.0080756
5.672395223565662	17.0	100.0080756
9.60760168928735	18.0	100.0080756
11.299371467176641	19.0	100.0080756
8.031090353784501	20.0	100.0080756
