Photon Density 	SigmaT	Energy(mJ)
60.09051798249141	5.0	100.0080756
53.68258276258067	6.0	100.0080756
44.859142841268145	7.0	100.0080756
33.41312630152489	8.0	100.0080756
30.277832350133497	9.0	100.0080756
24.36525892688047	10.0	100.0080756
20.04638224690709	11.0	100.0080756
18.012485695983866	12.0	100.0080756
13.531527164113236	13.0	100.0080756
13.348688238398935	14.0	100.0080756
13.250084073185658	15.0	100.0080756
10.457944668514164	16.0	100.0080756
9.2405990897382	17.0	100.0080756
8.692969259284249	18.0	100.0080756
6.950472919001231	19.0	100.0080756
6.721969474721303	20.0	100.0080756
