Energy(eV)+1j*SigmaT (microns) 	Weights
(7857486400.730265+5j)	(7.140769020490945+0j)
(8106592808.17569+5j)	(7.140769020490945+0j)
(7792882699.621029+5j)	(7.140769020490945+0j)
(7627663802.37825+5j)	(7.140769020490945+0j)
(8237203606.881208+5j)	(7.140769020490945+0j)
(8239724009.372322+5j)	(7.140769020490945+0j)
(8274638304.716703+5j)	(7.140769020490945+0j)
(8117713042.991308+5j)	(7.140769020490945+0j)
(7971030212.127844+5j)	(7.140769020490945+0j)
(8135069716.68586+5j)	(7.167998670734326+0j)
(8059378266.00543+5j)	(7.167998670734326+0j)
(8082377230.641319+5j)	(7.167998670734326+0j)
(8207217896.945152+5j)	(7.167998670734326+0j)
(7418882284.814901+5j)	(7.167998670734326+0j)
(8142098618.159742+5j)	(7.167998670734326+0j)
(7071567318.903233+5j)	(7.167998670734326+0j)
(7845280267.878786+5j)	(7.167998670734326+0j)
(7788986998.81488+5j)	(7.167998670734326+0j)
(6563924348.848506+5j)	(7.167998670734326+0j)
(7725041984.060354+5j)	(7.38070998313211+0j)
(7692857377.626429+5j)	(7.38070998313211+0j)
(6782381377.247747+5j)	(7.38070998313211+0j)
(7638287963.118883+5j)	(7.38070998313211+0j)
(7618474969.242029+5j)	(7.38070998313211+0j)
(7928021930.519482+5j)	(7.38070998313211+0j)
(8021791132.013627+5j)	(7.38070998313211+0j)
(8011646264.981189+5j)	(7.38070998313211+0j)
(8316361907.829693+5j)	(7.38070998313211+0j)
(8284151428.324537+5j)	(7.38070998313211+0j)
(8210743645.728526+5j)	(7.38070998313211+0j)
(8322452295.633446+5j)	(7.38070998313211+0j)
(7925018544.942076+5j)	(7.38070998313211+0j)
(7481577003.813188+5j)	(7.38070998313211+0j)
(8101643095.036996+5j)	(7.38070998313211+0j)
(7458038017.737138+5j)	(7.38070998313211+0j)
(7115464110.427257+5j)	(7.187522159309026+0j)
(7842616041.596573+5j)	(7.187522159309026+0j)
(7532320171.607275+5j)	(7.187522159309026+0j)
(7136182659.893923+5j)	(7.187522159309026+0j)
(7405446931.972754+5j)	(7.187522159309026+0j)
(8321218203.851025+5j)	(7.187522159309026+0j)
(8224857798.926039+5j)	(7.187522159309026+0j)
(8332111147.15845+5j)	(7.187522159309026+0j)
(8092837216.815634+5j)	(7.187522159309026+0j)
(7976835403.446329+5j)	(7.187522159309026+0j)
(7223775067.747631+5j)	(7.187522159309026+0j)
(7022963375.746507+5j)	(7.187522159309026+0j)
(7487232701.800516+5j)	(7.260107510522924+0j)
(7928152471.172565+5j)	(7.260107510522924+0j)
(8323514234.699627+5j)	(7.260107510522924+0j)
(7990933869.942752+5j)	(7.260107510522924+0j)
(7696524644.748976+5j)	(7.260107510522924+0j)
(7636177893.827509+5j)	(7.260107510522924+0j)
(8194152457.467472+5j)	(7.260107510522924+0j)
(7821378285.3520775+5j)	(7.260107510522924+0j)
(7939174154.951471+5j)	(7.304388326157195+0j)
(6846492942.540279+5j)	(7.304388326157195+0j)
(8267783043.004118+5j)	(7.304388326157195+0j)
(7975297936.516032+5j)	(7.304388326157195+0j)
(8233195760.488909+5j)	(7.304388326157195+0j)
(7809835899.174528+5j)	(7.304388326157195+0j)
(8354399476.478913+5j)	(7.304388326157195+0j)
(8267172679.229355+5j)	(7.304388326157195+0j)
(8092283151.365013+5j)	(7.304388326157195+0j)
(6371088450.633511+5j)	(7.304388326157195+0j)
(6836401064.770933+5j)	(7.304388326157195+0j)
(7938681770.274108+5j)	(7.304388326157195+0j)
(7579716727.691949+5j)	(7.162164215557035+0j)
(6475790770.271654+5j)	(7.162164215557035+0j)
(7215638734.912682+5j)	(7.162164215557035+0j)
(7745965820.236877+5j)	(7.162164215557035+0j)
(8188752420.071243+5j)	(7.162164215557035+0j)
(8371169872.722344+5j)	(7.162164215557035+0j)
(8267898521.091335+5j)	(7.162164215557035+0j)
(7614673011.965982+5j)	(7.162164215557035+0j)
(8286227146.457228+5j)	(7.162164215557035+0j)
(8153695464.912411+5j)	(7.162164215557035+0j)
(7604275307.590513+5j)	(7.162164215557035+0j)
(7209871108.189784+5j)	(7.162164215557035+0j)
(7016217656.4224825+5j)	(7.162164215557035+0j)
(7739706422.55188+5j)	(7.162164215557035+0j)
(7476533658.8014965+5j)	(7.162164215557035+0j)
(7893817968.088879+5j)	(7.6470792611283125+0j)
(7278542083.394988+5j)	(7.6470792611283125+0j)
(8237203527.965994+5j)	(7.6470792611283125+0j)
(8064116311.9403925+5j)	(7.6470792611283125+0j)
(7956433522.844576+5j)	(7.6470792611283125+0j)
(8310025595.678497+5j)	(7.6470792611283125+0j)
(6902757108.206137+5j)	(7.6470792611283125+0j)
(7739806877.191046+5j)	(7.6470792611283125+0j)
(7974630668.691887+5j)	(7.6470792611283125+0j)
(7357819171.111975+5j)	(7.591847274161682+0j)
(8309909275.433989+5j)	(7.591847274161682+0j)
(8085238488.899437+5j)	(7.591847274161682+0j)
(8260196547.3716135+5j)	(7.591847274161682+0j)
(7081806653.302652+5j)	(7.591847274161682+0j)
(7296639879.29385+5j)	(7.591847274161682+0j)
(7778307102.568573+5j)	(7.591847274161682+0j)
(8036280207.8804865+5j)	(7.591847274161682+0j)
